	3/2*n	pow(n,3)	n	pow(2,n)	log(n)	exp(n)	log2(log2(n))	n*log2(n)	log2(n)	sqrt(log2(n))	n!
62	62.00	238328.00	62.00	4611686018427387904.00	4.13	843835666874145383188004864.00	2.57	369.16	5.95	2.44	
63	63.00	250047.00	63.00	9223372036854775808.00	4.14	2293783159469609954760982528.00	2.58	376.57	5.98	2.44	
64	64.00	262144.00	64.00	18446744073709551616.00	4.16	6235149080811616743911849984.00	2.58	384.00	6.00	2.45	
65	65.00	274625.00	65.00	36893488147419103232.00	4.17	16948892444103337803358666752.00	2.59	391.45	6.02	2.45	
66	66.00	287496.00	66.00	73786976294838206464.00	4.19	46071866343312917806440251392.00	2.60	398.93	6.04	2.46	
67	67.00	300763.00	67.00	147573952589676412928.00	4.20	125236317084221369326178926592.00	2.60	406.43	6.07	2.46	
68	68.00	314432.00	68.00	295147905179352825856.00	4.22	340427604993174075826736463872.00	2.61	413.95	6.09	2.47	
69	69.00	328509.00	69.00	590295810358705651712.00	4.23	925378172558778718688878002176.00	2.61	421.49	6.11	2.47	
70	70.00	343000.00	70.00	1180591620717411303424.00	4.25	2515438670919166879789330989056.00	2.62	429.05	6.13	2.48	
71	71.00	357911.00	71.00	2361183241434822606848.00	4.26	6837671229762744147024034136064.00	2.62	436.63	6.15	2.48	
72	72.00	373248.00	72.00	4722366482869645213696.00	4.28	18586717452841278870244552605696.00	2.63	444.23	6.17	2.48	
73	73.00	389017.00	73.00	9444732965739290427392.00	4.29	50523936302761039454341181734912.00	2.63	451.86	6.19	2.49	
74	74.00	405224.00	74.00	18889465931478580854784.00	4.30	137338297954017610774568497053696.00	2.63	459.50	6.21	2.49	
75	75.00	421875.00	75.00	37778931862957161709568.00	4.32	373324199679900148487366050316288.00	2.64	467.16	6.23	2.50	
76	76.00	438976.00	76.00	75557863725914323419136.00	4.33	1014800388113888746146344200044544.00	2.64	474.84	6.25	2.50	
77	77.00	456533.00	77.00	151115727451828646838272.00	4.34	2758513454523170321189676423053312.00	2.65	482.54	6.27	2.50	
78	78.00	474552.00	78.00	302231454903657293676544.00	4.36	7498416996990120907011471506931712.00	2.65	490.26	6.29	2.51	
79	79.00	493039.00	79.00	604462909807314587353088.00	4.37	20382810665126688239604997451415552.00	2.66	498.00	6.30	2.51	
80	80.00	512000.00	80.00	1208925819614629174706176.00	4.38	55406223843935098344518031635382272.00	2.66	505.75	6.32	2.51	
81	81.00	531441.00	81.00	2417851639229258349412352.00	4.39	150609731458503061892247354869809152.00	2.66	513.53	6.34	2.52	
82	82.00	551368.00	82.00	4835703278458516698824704.00	4.41	409399696212745451138432050426544128.00	2.67	521.32	6.36	2.52	
83	83.00	571787.00	83.00	9671406556917033397649408.00	4.42	1112863754791759440048804931959783424.00	2.67	529.13	6.38	2.52	
84	84.00	592704.00	84.00	19342813113834066795298816.00	4.43	3025077322201142562234189425024172032.00	2.68	536.95	6.39	2.53	
85	85.00	614125.00	85.00	38685626227668133590597632.00	4.44	8223012714622913101995625382930284544.00	2.68	544.80	6.41	2.53	
86	86.00	636056.00	86.00	77371252455336267181195264.00	4.45	22352466037347149741613836874748526592.00	2.68	552.66	6.43	2.54	
87	87.00	658503.00	87.00	154742504910672534362390528.00	4.47	60760302250568719065170691650937159680.00	2.69	560.54	6.44	2.54	
88	88.00	681472.00	88.00	309485009821345068724781056.00	4.48	165163625499400180986996598802797821952.00	2.69	568.43	6.46	2.54	
89	89.00	704969.00	89.00	618970019642690137449562112.00	4.49	448961281917434554974692932659542228992.00	2.70	576.34	6.48	2.54	
90	90.00	729000.00	90.00	1237940039285380274899124224.00	4.50	1220403294317840834182894301529193316352.00	2.70	584.27	6.49	2.55	
91	91.00	753571.00	91.00	2475880078570760549798248448.00	4.51	3317400098335742831698770026249043574784.00	2.70	592.21	6.51	2.55	
92	92.00	778688.00	92.00	4951760157141521099596496896.00	4.52	9017628405034298519450202280083092144128.00	2.71	600.17	6.52	2.55	
93	93.00	804357.00	93.00	9903520314283042199192993792.00	4.53	24512455429200859664974848534887274643456.00	2.71	608.14	6.54	2.56	
94	94.00	830584.00	94.00	19807040628566084398385987584.00	4.54	66631762164108961850036830684054242197504.00	2.71	616.13	6.55	2.56	
95	95.00	857375.00	95.00	39614081257132168796771975168.00	4.55	181123908288902334832971246827918212464640.00	2.72	624.14	6.57	2.56	
96	96.00	884736.00	96.00	79228162514264337593543950336.00	4.56	492345828601205826105651076171577906167808.00	2.72	632.16	6.58	2.57	
97	97.00	912673.00	97.00	158456325028528675187087900672.00	4.57	1338334719204269538704786735170027538874368.00	2.72	640.19	6.60	2.57	
98	98.00	941192.00	98.00	316912650057057350374175801344.00	4.58	3637970947608804749879905722463248516644864.00	2.73	648.24	6.61	2.57	
99	99.00	970299.00	99.00	633825300114114700748351602688.00	4.60	9889030319346946255261957393444250518028288.00	2.73	656.31	6.63	2.57	
100	100.00	1000000.00	100.00	1267650600228229401496703205376.00	4.61	26881171418161356094253400435962903554686976.00	2.73	664.39	6.64	2.58	
